Jarak Antar Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
( Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surabaya,Gresik,Sidoarjo,Mojokerto,Jombang,Bojonegoro,Lamongan ,Tuban,Madiun ,Ngawi,Magetan,Ponorogo,Pacitan,Kediri,Nganjuk,Tulungagung,Blitar,Trenggalek ,Malang,Pasuruan ,Probolinggo,Lumajang,Bondowoso,Situbondo,Jember,Banyuwangi,Bangkalan,Sampang,Pamekasan,Sumenep,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
Surabaya, -   ,     18 ,     23 ,     49 ,     79 ,     108 ,     45 ,     103 ,     169 ,     181 ,     193 ,     198 ,     276 ,     123 ,     119 ,     154 ,     167 ,     186 ,     89 ,     60 ,     99 ,     145 ,     191 ,     194 ,     197 ,     288 ,     28 ,     90 ,     123 ,     175 ,,
Gresik,     18 , -   ,     41 ,     67 ,     97 ,     90 ,     27 ,     85 ,     187 ,     199 ,     211 ,     216 ,     294 ,     141 ,     137 ,     172 ,     185 ,     204 ,     107 ,     78 ,     117 ,     163 ,     209 ,     212 ,     215 ,     306 ,     46 ,     108 ,     141 ,     193 ,,
Sidoarjo,     23 ,     41 , -   ,     72 ,     102 ,     131 ,     68 ,     126 ,     192 ,     204 ,     216 ,     221 ,     298 ,     145 ,     142 ,     177 ,     144 ,     208 ,     66 ,     37 ,     76 ,     122 ,     168 ,     171 ,     174 ,     265 ,     51 ,     113 ,     146 ,     198 ,,
Mojokerto,     49 ,     67 ,     72 , -   ,     30 ,     115 ,     57 ,     110 ,     120 ,     132 ,     144 ,     149 ,     227 ,     74 ,     70 ,     105 ,     118 ,     137 ,     86 ,     61 ,     100 ,     146 ,     192 ,     195 ,     198 ,     289 ,     77 ,     139 ,     172 ,     224 ,,
Jombang,     79 ,     97 ,     102 ,     30 , -   ,     85 ,     80 ,     81 ,     90 ,     102 ,     114 ,     119 ,     197 ,     44 ,     40 ,     75 ,     88 ,     107 ,     119 ,     91 ,     130 ,     176 ,     222 ,     225 ,     228 ,     319 ,     107 ,     169 ,     202 ,     254 ,,
Bojonegoro,     108 ,     90 ,     131 ,     115 ,     85 , -   ,     63 ,     65 ,     110 ,     78 ,     112 ,     139 ,     217 ,     129 ,     125 ,     160 ,     173 ,     192 ,     197 ,     168 ,     207 ,     253 ,     298 ,     202 ,     305 ,     396 ,     136 ,     198 ,     231 ,     283 ,,
Lamongan ,     45 ,     27 ,     68 ,     57 ,     80 ,     63 , -   ,     58 ,     177 ,     187 ,     201 ,     206 ,     284 ,     131 ,     127 ,     162 ,     175 ,     194 ,     134 ,     105 ,     144 ,     190 ,     236 ,     239 ,     242 ,     333 ,     73 ,     135 ,     168 ,     220 ,,
Tuban,     103 ,     95 ,     126 ,     110 ,     82 ,     65 ,     58 , -   ,     172 ,     184 ,     196 ,     201 ,     279 ,     126 ,     122 ,     157 ,     170 ,     189 ,     191 ,     163 ,     202 ,     248 ,     284 ,     297 ,     300 ,     391 ,     131 ,     193 ,     226 ,     278 ,,
Madiun ,     169 ,     187 ,     192 ,     128 ,     90 ,     110 ,     177 ,     182 , -   ,     32 ,     24 ,     29 ,     107 ,     78 ,     50 ,     109 ,     122 ,     82 ,     178 ,     181 ,     220 ,     266 ,     312 ,     315 ,     338 ,     407 ,     127 ,     259 ,     292 ,     344 ,,
Ngawi,     181 ,     199 ,     264 ,     132 ,     102 ,     78 ,     189 ,     184 ,     32 , -   ,     34 ,     61 ,     139 ,     90 ,     62 ,     121 ,     134 ,     114 ,     190 ,     193 ,     232 ,     278 ,     324 ,     327 ,     330 ,     42 ,     409 ,     271 ,     304 ,     356 ,,
Magetan,     193 ,     211 ,     216 ,     144 ,     114 ,     113 ,     201 ,     190 ,     24 ,     34 , -   ,     53 ,     131 ,     102 ,     74 ,     133 ,     146 ,     106 ,     202 ,     205 ,     244 ,     290 ,     336 ,     339 ,     342 ,     433 ,     221 ,     383 ,     316 ,     368 ,,
Ponorogo,     198 ,     216 ,     221 ,     148 ,     119 ,     139 ,     206 ,     201 ,     29 ,     61 ,     53 , -   ,     78 ,     115 ,     79 ,     84 ,     117 ,     52 ,     195 ,     210 ,     249 ,     211 ,     341 ,     344 ,     347 ,     438 ,     226 ,     283 ,     321 ,     373 ,,
Pacitan,     276 ,     294 ,     298 ,     227 ,     197 ,     217 ,     284 ,     179 ,     107 ,     139 ,     131 ,     78 , -   ,     180 ,     157 ,     149 ,     182 ,     117 ,     270 ,     213 ,     352 ,     276 ,     390 ,     421 ,     358 ,     462 ,     364 ,     366 ,     399 ,     451 ,,
Kediri,     123 ,     141 ,     146 ,     47 ,     44 ,     129 ,     131 ,     126 ,     78 ,     90 ,     102 ,     115 ,     180 , -   ,     28 ,     31 ,     44 ,     63 ,     100 ,     156 ,     194 ,     217 ,     386 ,     289 ,     299 ,     383 ,     151 ,     213 ,     246 ,     296 ,,
Nganjuk,     119 ,     137 ,     142 ,     70 ,     40 ,     125 ,     127 ,     122 ,     50 ,     62 ,     74 ,     79 ,     157 ,     28 , -   ,     59 ,     72 ,     96 ,     128 ,     131 ,     170 ,     216 ,     282 ,     285 ,     268 ,     359 ,     147 ,     209 ,     242 ,     294 ,,
